date,activity_type,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length
2020-02-08 15:28:10,Running,Portland Running,3.02,503,00:31:58,161,178,4.3,156,176,10:35,8:32,66,285,0.98
2020-02-07 16:53:13,Cycling,Portland Cycling,3.76,176,00:17:14,119,140,2.0,0,0,13.1,23.5,256,102,0.0
2020-02-07 07:47:27,Cycling,Portland Cycling,3.49,122,00:14:35,108,145,1.5,0,0,14.4,25.1,49,233,0.0
2020-02-06 17:58:52,Cycling,Portland Cycling,3.83,144,00:18:08,108,128,1.0,0,0,12.7,21.6,259,98,0.0
2020-02-06 07:47:26,Cycling,Portland Cycling,3.5,184,00:16:23,125,170,2.3,0,0,12.8,25.4,36,217,0.0
2020-02-05 17:30:11,Cycling,Portland Cycling,3.82,227,00:17:23,135,175,3.0,0,0,13.2,24.7,256,98,0.0
2020-02-04 20:13:10,Walking,Portland Walking,1.63,216,00:33:05,97,112,0.7,101,113,20:17,13:11,66,79,0.78
2020-01-18 15:50:08,Running,Portland Running,2.01,316,00:19:55,155,183,3.5,160,170,9:54,8:19,23,59,1.02
2020-01-14 17:22:25,Cycling,Portland Cycling,3.76,204,00:18:45,124,168,2.2,0,0,12.0,23.3,289,75,0.0
2020-01-14 07:56:42,Cycling,Portland Cycling,3.42,165,00:15:30,121,150,2.0,0,0,13.3,26.1,39,233,0.0
2020-01-12 15:38:02,Resort Skiing/Snowboarding,Clackamas County Resort Skiing/Snowboarding,0.75,8,00:02:05.6,82,92,0.0,0,0,21.6,43.7,0,709,0.0
2020-01-11 12:42:28,Running,Portland Running,2.03,322,00:21:15,150,168,3.2,161,172,10:28,9:16,36,56,0.96
2020-01-10 16:55:26,Cycling,Portland Cycling,3.84,249,00:18:35,136,163,2.8,0,0,12.4,28.8,276,98,0.0
2020-01-10 07:53:56,Cycling,Portland Cycling,3.49,210,00:15:33,138,173,2.6,0,0,13.4,22.4,62,230,0.0
2020-01-09 17:39:23,Cycling,Portland Cycling,3.84,166,00:18:32,115,176,1.4,0,0,12.4,22.8,285,82,0.0
2020-01-09 07:55:44,Cycling,Portland Cycling,3.46,117,00:14:35,108,140,1.0,0,0,14.3,24.7,33,223,0.0
2020-01-08 17:11:31,Cycling,Portland Cycling,3.82,218,00:18:49,128,161,2.2,0,0,12.2,21.1,266,92,0.0
2020-01-08 07:47:26,Cycling,Portland Cycling,3.52,124,00:16:20,106,131,0.6,0,0,12.9,24.0,33,217,0.0
2020-01-07 17:39:15,Cycling,Portland Cycling,3.86,227,00:17:51,133,171,2.5,0,0,13.0,24.7,253,85,0.0
2020-01-07 07:56:49,Cycling,Portland Cycling,3.51,167,00:15:21,122,154,2.1,0,0,13.7,24.4,36,223,0.0
