Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Elev Gain,Elev Loss,Avg Pace,Best Pace,Total Strokes,Climb Time,Bottom Time,Unnamed: 0,Unnamed: 0.1,Total Reps,Total Sets
Golf,6/23/2021 18:29,False,Portland Golf,3.91,920,2:32:46,99,132,0.7,--,--,1.5,13.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,82.4,0:00,No,32:45.9,1,0.0,1:18:34,2:32:46,14,47,43,69,,,,,,,,,
Running,6/23/2021 13:09,False,Portland Running,5.01,822,0:47:09,154,175,3.6,170,205,9:25,7:13,,,1.01,0.0,0.0,0.0,0.0,0.0,0:00,82.4,0:00,No,00:03.1,6,0.0,0:46:09,0:47:09,159,280,197,174,,,,,,,,,
Running,6/22/2021 12:22,False,Portland Running,6.1,"1,007",1:00:07,152,166,3.5,169,208,9:52,8:38,,,0.97,0.0,0.0,0.0,0.0,0.0,0:00,82.4,0:00,No,00:51.8,7,0.0,0:58:43,1:00:07,160,275,249,249,,,,,,,,,
Cycling,6/21/2021 14:04,False,Portland Cycling,9.11,594,0:48:56,134,167,2.2,--,--,11.2,29,,,0.0,0.0,0.0,0.0,0.0,0.0,0:00,87.8,0:00,No,20:41.9,2,0.0,0:46:10,0:49:31,287,705,692,682,,,,,,,,,
Hiking,6/20/2021 8:27,False,Skamania County Hiking,7.28,"1,067",3:10:20,95,143,0.6,81,196,26:09:00,0:56,,,0.76,0.0,0.0,0.0,0.0,0.0,0:00,69.8,0:00,No,10:19.9,1,0.0,2:45:11,3:10:23,733,"2,675","1,949","1,923",,,,,,,,,
Running,6/19/2021 7:23,False,Portland Running,20.01,"3,032",3:35:37,146,166,3.6,171,194,10:47,8:14,,,0.88,0.0,0.0,0.0,0.0,0.0,0:00,60.8,0:00,No,00:03.4,21,0.0,3:35:34,3:35:37,371,776,942,853,,,,,,,,,
Running,6/17/2021 12:13,False,Portland Running,6.0,979,1:00:23,148,164,3.2,168,194,10:03,7:59,,,0.95,0.0,0.0,0.0,0.0,0.0,0:00,78.8,0:00,No,00:02.5,7,0.0,0:59:42,1:00:23,168,286,256,217,,,,,,,,,
Running,6/16/2021 17:55,False,Portland Running,5.03,850,0:47:19,160,184,3.7,169,188,9:25,6:56,,,1.01,0.0,0.0,0.0,0.0,0.0,0:00,77.0,0:00,No,00:21.6,6,0.0,0:46:50,0:47:28,163,595,515,423,,,,,,,,,
Running,6/15/2021 13:44,False,Portland Running,8.18,"1,397",1:21:15,155,170,3.8,171,198,9:56,8:16,,,0.95,0.0,0.0,0.0,0.0,0.0,0:00,75.2,0:00,No,01:40.2,9,0.0,1:20:54,1:21:15,27,158,236,259,,,,,,,,,
Running,6/13/2021 18:59,False,Portland Running,12.01,"1,878",2:03:51,148,165,3.2,171,188,10:19,8:54,,,0.91,0.0,0.0,0.0,0.0,0.0,0:00,71.6,0:00,No,00:04.2,13,0.0,2:03:19,2:03:51,4,583,705,728,,,,,,,,,
Running,6/12/2021 6:34,False,Portland Running,24.01,"3,774",4:38:06,149,166,3.8,170,221,11:35,7:50,,,0.82,0.0,0.0,0.0,0.0,0.0,0:00,62.6,0:00,No,00:04.2,25,0.0,4:37:56,4:38:44,434,"1,009","1,375","1,250",,,,,,,,,
Running,6/10/2021 13:35,False,Portland Running,6.01,"1,019",0:59:20,152,162,3.3,171,186,9:53,9:11,,,0.95,0.0,0.0,0.0,0.0,0.0,0:00,73.4,0:00,No,00:02.7,7,0.0,0:59:19,0:59:20,214,283,210,207,,,,,,,,,
Running,6/9/2021 12:51,False,Portland Running,5.01,827,0:44:48,159,171,3.7,172,203,8:57,7:44,,,1.05,0.0,0.0,0.0,0.0,0.0,0:00,75.2,0:00,No,00:02.3,6,0.0,0:43:43,0:44:48,162,284,213,187,,,,,,,,,
